Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Кофе молотый Kurukahveci Mehmet Efendi Турецкий Арабика 100% в мягкой упаковке 100 гр. 25шт.;1598747714;Кофе молотый Kurukahveci Mehmet Efendi 25шт.;https://www.ozon.ru/product/1598747714;Kurukahveci Mehmet Efendi;Продукты питания;Кофе молотый;Нет;90 042 ₽;+56%;17;4 331 ₽;5 297 ₽;0 ₽;24 из 28;3 216 ₽;1;FBS;0 ч;13,1;35,0%;41,0%;40 086;2 822;0,05%;2,97%;17,2%;100,0%;2024-06-07
Кофе в дрип-пакетах;2071045566;2025233978-oywx;https://www.ozon.ru/product/2071045566;без бренда;Продукты питания;Кофе в дрип-пакетах;Нет;89 980 ₽;+40%;127;307 ₽;709 ₽;0 ₽;0 из 28;0 ₽;0;FBS;0 ч;2,2;44,0%;58,0%;4 393;1 337;1,29%;17,65%;0,0%;86,6%;2025-04-25
"Кофе в зернах KIMBO ""Aroma Gold Arabica"" (Кимбо ""Арома Голд Арабика""), натуральный, 1000 г";3223414982;з K Aroma Gold1;https://www.ozon.ru/product/3223414982;Kimbo;Продукты питания;Кофе в зернах;Нет;89 963 ₽;0%;74;1 ₽;1 216 ₽;45 210 ₽;27 из 28;4 521 ₽;4;FBS;0 ч;0,9;37,0%;45,0%;4 863;766;0,61%;13,57%;1,1%;95,9%;2025-12-11
Кофе в зернах Bushido Red Katana 1 кг;3160521812;Бушидо красный, 1 кг_9;https://www.ozon.ru/product/3160521812;без бренда;Продукты питания;Кофе в зернах;Нет;89 948 ₽;0%;66;1 150 ₽;1 363 ₽;0 ₽;27 из 28;3 165 ₽;2;FBS;0 ч;9,7;42,0%;53,0%;8 025;608;0,63%;13,98%;0,2%;95,3%;2025-11-26
Капсулы Starbucks Decaf Blonde Espresso Roast Nespresso, 10 шт;1850684906;4130098309;https://www.ozon.ru/product/1850684906;Starbucks;Продукты питания;Кофе в капсулах;Нет;89 806 ₽;+231%;143;458 ₽;628 ₽;0 ₽;11 из 28;3 232 ₽;5;FBO;30 ч;0,3;42,0%;55,0%;2 341;396;2,99%;9,59%;0,0%;97,2%;2025-01-29
Кофе Starbucks SMOOTH CARAMEL в капсулах, упаковка 10 шт;1780264575;154422;https://www.ozon.ru/product/1780264575;Starbucks;Продукты питания;Кофе в капсулах;Нет;89 778 ₽;+73%;112;1 ₽;802 ₽;0 ₽;26 из 28;3 186 ₽;4;FBO,FBS;42 ч;0,5;40,0%;51,0%;15 055;786;0,73%;9,66%;4,2%;93,7%;2024-12-08
Кофе молотый BOGGI Dolce, 250 г;2035516720;5000005215;https://www.ozon.ru/product/2035516720;BOGGI ESPRESSO ITALIANO;Продукты питания;Кофе молотый;Нет;89 758 ₽;+98%;180;347 ₽;499 ₽;0 ₽;13 из 28;3 149 ₽;6;FBO;28 ч;1,8;44,0%;58,0%;26 196;2 711;0,25%;8,63%;9,9%;98,3%;2025-04-15
Кофе Nespresso CIOCCOLATINO в капсулах, упаковка 10 шт;1047709476;7766.50;https://www.ozon.ru/product/1047709476;Nespresso;Продукты питания;Кофе в капсулах;Нет;89 748 ₽;-27%;75;880 ₽;1 197 ₽;3 234 ₽;23 из 28;3 234 ₽;3;FBS;0 ч;0,6;38,0%;46,0%;3 963;459;0,37%;12,20%;0,5%;88,0%;2023-06-23
Камбоджийский шоколадный кофе 400г. AROMA DISCOVERY молотый натуральный;829037049;AD400;https://www.ozon.ru/product/829037049;AROMA DISCOVERY;Продукты питания;Кофе молотый;Нет;89 742 ₽;+37%;62;1 030 ₽;1 447 ₽;0 ₽;7 из 28;3 152 ₽;2;FBO;28 ч;1,9;37,0%;45,0%;2 534;641;0,59%;8,73%;0,0%;95,1%;2022-12-29
Кофе Pronto Crema Grande Aroma в зернах, 1кг;3160364484;7385735;https://www.ozon.ru/product/3160364484;без бренда;Продукты питания;Кофе в зернах;Нет;89 693 ₽;0%;62;1 171 ₽;1 447 ₽;0 ₽;26 из 28;3 203 ₽;2;FBS;0 ч;1,0;36,0%;44,0%;5 871;287;0,37%;14,63%;0,5%;93,5%;2025-11-26
Кофе в зернах Julius Meinl Caffe Crema (Кафе Крема), средняя обжарка, для молочных напитков 1 кг;3020896330;'Юлиус Майнл_Кафе Крема_1;https://www.ozon.ru/product/3020896330;Julius Meinl;Продукты питания;Кофе в зернах;Нет;89 652 ₽;-65%;59;1 335 ₽;1 520 ₽;0 ₽;26 из 28;3 153 ₽;2;FBO,FBS;28 ч;1,0;36,0%;43,0%;5 318;1 013;0,50%;7,89%;0,1%;91,5%;2025-10-25
Кофе молотый НЕФТЬ Coffee Милки 250 гр;1897480979;m-00008_M;https://www.ozon.ru/product/1897480979;НЕФТЬ coffee roasters;Продукты питания;Кофе молотый;Нет;89 630 ₽;+132%;172;260 ₽;521 ₽;3 302 ₽;23 из 28;3 302 ₽;6;FBO;37 ч;1,3;45,0%;60,0%;9 079;2 481;1,46%;8,70%;0,0%;96,5%;2025-02-24
Кофе в капсулах Nespresso Vertuo, бленд Sweet Vanilla 10 капсул;2244326264;Vertuo-Sweet-Vanilla;https://www.ozon.ru/product/2244326264;Nespresso;Продукты питания;Кофе в капсулах;Нет;89 609 ₽;-38%;66;1 083 ₽;1 358 ₽;7 714 ₽;26 из 28;3 857 ₽;3;FBO,FBS;0 ч;1,5;38,0%;46,0%;8 565;214;0,49%;15,42%;13,4%;95,3%;2025-06-06
Кофе в зернах illy 250гр;2979980146;47621087-89717;https://www.ozon.ru/product/2979980146;illy;Продукты питания;Кофе в зернах;Нет;89 546 ₽;0%;100;636 ₽;895 ₽;99 203 ₽;27 из 28;6 614 ₽;7;FBO;0 ч;2,3;41,0%;53,0%;1 810;433;3,09%;16,39%;0,0%;96,0%;2025-10-16
Кофе в капсулах Starbucks Dolce Gusto CAPPUCINO;2124584946;9305;https://www.ozon.ru/product/2124584946;Starbucks;Продукты питания;Кофе в капсулах;Нет;89 489 ₽;+10 162%;89;738 ₽;1 005 ₽;56 126 ₽;27 из 28;5 102 ₽;5;FBS;0 ч;3,3;41,0%;53,0%;31 437;2 929;0,38%;5,32%;9,9%;94,3%;2025-05-12
Кофе молотый НЕФТЬ Coffee Бразилия Моджиана 250 гр;1897450975;m-00001_M;https://www.ozon.ru/product/1897450975;НЕФТЬ coffee roasters;Продукты питания;Кофе молотый;Нет;89 486 ₽;-37%;155;209 ₽;577 ₽;0 ₽;18 из 28;3 146 ₽;5;FBO;30 ч;1,3;44,0%;58,0%;7 764;2 155;1,05%;8,30%;0,0%;96,1%;2025-02-24
Кофе молотый Lavazza Qualita Rossa, банка 250гр х 2шт;1456577026;3593/2;https://www.ozon.ru/product/1456577026;Lavazza;Продукты питания;Кофе молотый;Нет;89 483 ₽;+120%;62;1 027 ₽;1 443 ₽;0 ₽;5 из 28;3 095 ₽;2;FBO;28 ч;2,9;37,0%;46,0%;9 625;325;0,27%;13,23%;0,4%;100,0%;2024-03-07
Кофе в зернах Сокровища кофейных плантаций Ром Забаглионе Арабика 1 кг;1124841803;4607008571394;https://www.ozon.ru/product/1124841803;Сокровища кофейных плантаций;Продукты питания;Кофе в зернах;Нет;89 466 ₽;+46%;37;2 116 ₽;2 418 ₽;0 ₽;13 из 28;3 195 ₽;1;FBO;29 ч;3,5;36,0%;43,0%;1 295;307;0,23%;8,46%;0,0%;100,0%;2023-08-08
"Кофе в зернах 1 кг San Paulo ""Gusto Brazil"" ""Бразилия"" кофе в зернах 1 кг арабика 100%";1552190287;90909303;https://www.ozon.ru/product/1552190287;San Paulo;Продукты питания;Кофе в зернах;Нет;89 450 ₽;-21%;57;1 408 ₽;1 569 ₽;0 ₽;25 из 28;3 194 ₽;2;FBO;60 ч;8,8;42,0%;53,0%;5 164;1 090;0,13%;10,00%;0,0%;92,9%;2024-04-19
Кофейный напиток Nescafe Gold cappuccino, 225г. (Финляндия);2216583013;Nescafe-capp-225;https://www.ozon.ru/product/2216583013;НЕСКАФÉ;Продукты питания;Кофе растворимый;Да;89 412 ₽;+108%;112;640 ₽;798 ₽;0 ₽;22 из 28;3 177 ₽;4;FBO,FBS;0 ч;2,1;43,0%;56,0%;10 725;1 919;1,01%;10,10%;0,0%;93,7%;2025-05-31
Кофе в капсулах Cremesso (Кремессо) Ristretto Forte (16 капс.);228558966;10173299;https://www.ozon.ru/product/228558966;Cremesso;Продукты питания;Кофе в капсулах;Нет;89 407 ₽;+57%;99;619 ₽;903 ₽;0 ₽;19 из 28;3 150 ₽;4;FBO;39 ч;1,6;38,0%;47,0%;2 135;299;1,96%;15,38%;0,0%;95,9%;2021-02-08
набор капсул для кофемашины неспрессо Pumpkin;1699215778;Набор Трио Тыква;https://www.ozon.ru/product/1699215778;Nespresso;Продукты питания;Кофе в капсулах;Нет;89 395 ₽;+86%;24;3 346 ₽;3 725 ₽;0 ₽;21 из 28;2 909 ₽;1;FBS;0 ч;1,6;34,0%;39,0%;4 794;172;0,20%;9,88%;8,1%;95,8%;2024-09-20
Кофе молотый 1 кг Gracias Gold натуральный мелкого помола для турки;761104453;moloty_st_1kg_gracias_gold;https://www.ozon.ru/product/761104453;GRACIAS;Продукты питания;Кофе молотый;Нет;89 378 ₽;-76%;63;1 017 ₽;1 419 ₽;0 ₽;27 из 28;3 307 ₽;2;FBO,FBS;60 ч;3,2;38,0%;48,0%;4 748;1 197;0,44%;9,52%;0,0%;91,3%;2022-10-25
Кофе в зернах 500 гр ИРЛАНДСКИЙ КРЕМ 100% арабика свежая обжарка СOFFEE INN бразилия/руанда;2149165700;Ирл.крем500;https://www.ozon.ru/product/2149165700;COFFEE INN;Продукты питания;Кофе в зернах;Нет;89 331 ₽;-9%;75;755 ₽;1 191 ₽;0 ₽;22 из 28;3 251 ₽;3;FBO;36 ч;1,8;38,0%;47,0%;4 594;1 590;0,56%;7,54%;5,2%;98,6%;2025-05-18
Кофе молотый арабика 100%, Эфиопия/Колумбия/Уганда, 9 БАР КОФЕ, 250 г;181759784;ekr1250;https://www.ozon.ru/product/181759784;9 BAR coffee & roasters;Продукты питания;Кофе молотый;Нет;89 329 ₽;+15%;144;408 ₽;620 ₽;0 ₽;27 из 28;3 245 ₽;5;FBO,FBS;0 ч;1,0;41,0%;53,0%;44 995;5 298;0,11%;7,90%;16,9%;94,4%;2020-07-19
Monarch Кофе растворимый 500г. 1шт.;2848587429;946964946964;https://www.ozon.ru/product/2848587429;Monarch;Продукты питания;Кофе растворимый;Нет;89 298 ₽;+153%;81;1 ₽;1 102 ₽;0 ₽;27 из 28;3 118 ₽;3;FBS;0 ч;1,5;39,0%;48,0%;138 060;1 787;0,09%;12,81%;3,6%;96,2%;2025-09-13
Кофе в зернах LALIBELA COFFEE Подарочный набор Arabica, Classic, Espresso 3шт*250г;3049434693;89432;https://www.ozon.ru/product/3049434693;Lalibela сoffee;Продукты питания;Кофе в зернах;Нет;89 294 ₽;0%;86;817 ₽;1 038 ₽;77 228 ₽;28 из 28;5 149 ₽;5;FBS;0 ч;4,7;42,0%;54,0%;40 320;1 501;0,18%;11,12%;10,3%;96,4%;2025-10-31
Кантата Кофе растворимый Сублимированный 50г. 1шт.;1814580881;12072;https://www.ozon.ru/product/1814580881;Кантата;Продукты питания;Кофе растворимый;Нет;89 272 ₽;+110%;75;891 ₽;1 190 ₽;36 725 ₽;27 из 28;4 591 ₽;4;FBO;53 ч;1,5;39,0%;48,0%;5 405;1 693;1,42%;7,44%;0,0%;98,6%;2025-01-03
Кофе в зернах1кг, Арабика и Робуста, Espresso Premium Blend;2726549530;CNM12;https://www.ozon.ru/product/2726549530;Панда Кофе;Продукты питания;Кофе в зернах;Нет;89 269 ₽;-53%;68;991 ₽;1 313 ₽;0 ₽;11 из 28;3 318 ₽;3;FBO;31 ч;2,6;38,0%;47,0%;125 748;1 554;0,05%;9,58%;37,2%;97,0%;2025-08-21
Кофе в зернах Hausbrandt Vending Premium 1 кг, итальянская обжарка;183453006;558;https://www.ozon.ru/product/183453006;Hausbrandt;Продукты питания;Кофе в зернах;Нет;89 218 ₽;-33%;42;1 436 ₽;2 124 ₽;14 870 ₽;19 из 28;3 717 ₽;2;FBO;53 ч;2,8;36,0%;43,0%;4 570;489;0,48%;8,17%;0,9%;97,6%;2020-07-30
Кофе LOFBERGS Kharisma Dark Roast 1000г зерно;1628590542;288301;https://www.ozon.ru/product/1628590542;Lofbergs;Продукты питания;Кофе в зернах;Нет;89 189 ₽;-66%;42;1 736 ₽;2 124 ₽;0 ₽;26 из 28;9 702 ₽;5;FBS;0 ч;6,8;38,0%;47,0%;1 436;591;1,60%;11,33%;0,0%;97,5%;2024-07-15
Кофе в капсулах Caffitaly Brasil Арабика 10 шт;320250252;Caffitaly.CSS.Brasil;https://www.ozon.ru/product/320250252;Caffitaly;Продукты питания;Кофе в капсулах;Нет;89 178 ₽;+14%;168;343 ₽;531 ₽;0 ₽;23 из 28;3 146 ₽;6;FBO;34 ч;0,6;44,0%;59,0%;8 865;966;0,83%;15,21%;12,0%;95,8%;2021-09-13
Кофе молотый 250 г набор 3 шт Ирландский Крем, Бейлис, Баунти Lancof;806297944;КофеНаб_N3_КНП_МОЛ_ИрлКр_Бейл_Баун_750;https://www.ozon.ru/product/806297944;Lancof;Продукты питания;Кофе молотый;Нет;89 174 ₽;+557%;47;1 658 ₽;1 897 ₽;0 ₽;20 из 28;3 117 ₽;2;FBO;48 ч;2,5;35,0%;42,0%;23 035;1 384;0,17%;11,34%;3,5%;93,6%;2022-11-29
Кофе молотый 250 г набор 3 шт Ирландский Крем, Клубника со Сливками, Пломбир Lancof;1681215228;КофеНаб_№42_КНП_МОЛ_ИрлКр_Клуб_Плом_750;https://www.ozon.ru/product/1681215228;Lancof;Продукты питания;Кофе молотый;Нет;89 172 ₽;+777%;52;1 282 ₽;1 715 ₽;0 ₽;20 из 28;3 060 ₽;2;FBO;36 ч;2,5;36,0%;43,0%;14 246;619;0,16%;18,41%;1,0%;90,3%;2024-09-04
Кофе в зернах Egoiste Truffle (Эгоист трюфель), 1кг;3192075929;Эгоист Truffle, 1 кг_05;https://www.ozon.ru/product/3192075929;без бренда;Продукты питания;Кофе в зернах;Нет;89 145 ₽;0%;65;1 252 ₽;1 371 ₽;70 963 ₽;28 из 28;4 435 ₽;3;FBS;0 ч;0,7;36,0%;43,0%;3 554;419;0,53%;14,55%;0,9%;96,9%;2025-12-03
"Смесь сухая для ""RAPF-COFFE"" РАФ со вкусом БАНАН, коробка, 12 шт / 12 кг.";866808294;sm-426428k;https://www.ozon.ru/product/866808294;ARISTOCRAT ;Продукты питания;Кофейный напиток;Нет;89 142 ₽;+108%;12;7 079 ₽;7 429 ₽;0 ₽;28 из 28;2 925 ₽;0;FBS;0 ч;28,4;38,0%;46,0%;576;32;1,04%;9,37%;0,0%;100,0%;2023-02-17
Кофе растворимый Davidoff Fine Aroma, 100 г.;1738568483;509671;https://www.ozon.ru/product/1738568483;Davidoff;Продукты питания;Кофе растворимый;Нет;89 134 ₽;+164%;94;811 ₽;948 ₽;0 ₽;9 из 28;3 244 ₽;3;FBO;31 ч;1,0;40,0%;51,0%;4 437;1 333;0,78%;9,00%;0,0%;95,7%;2024-10-23
Кофе в зернах 1 кг. Paulig Mokka (Паулиг Мокка), арабика, робуста, Финляндия;1617567809;1311;https://www.ozon.ru/product/1617567809;Paulig;Продукты питания;Кофе в зернах;Нет;88 968 ₽;+603%;39;2 080 ₽;2 281 ₽;0 ₽;26 из 28;3 103 ₽;1;FBO;40 ч;5,2;37,0%;46,0%;7 856;731;0,15%;6,29%;0,3%;92,3%;2024-07-01
Кофе в зернах El Gusto San Marcos Specialty Coffee Costa Rica 100% арабика 250 г, средняя обжарка;353030445;БЗ-00000759;https://www.ozon.ru/product/353030445;El Gusto;Продукты питания;Кофе в зернах;Нет;88 914 ₽;+75%;50;1 515 ₽;1 778 ₽;0 ₽;25 из 28;3 347 ₽;2;FBO;47 ч;0,4;35,0%;43,0%;11 208;1 653;0,16%;4,41%;3,3%;98,0%;2021-10-15
Little’s Кофе растворимый Сублимированный 50г. 1шт.;185157524;242386;https://www.ozon.ru/product/185157524;Little’s;Продукты питания;Кофе растворимый;Нет;88 801 ₽;+34%;92;643 ₽;965 ₽;0 ₽;25 из 28;3 170 ₽;3;FBO;35 ч;0,4;38,0%;48,0%;33 831;2 685;0,23%;5,10%;2,9%;97,7%;2020-08-09
Кофе растворимый 1кг с добавлением натурального жареного молотого кофе Parizano Le Camilo;1782228320;mp_1kg_parizano_LeCamilo;https://www.ozon.ru/product/1782228320;PARIZANO;Продукты питания;Кофе растворимый;Нет;88 772 ₽;-69%;65;1 266 ₽;1 366 ₽;0 ₽;26 из 28;3 806 ₽;3;FBO,FBS;0 ч;3,4;39,0%;48,0%;7 131;1 666;0,09%;6,66%;0,0%;96,8%;2024-12-10
"Кофе в зернах ""Рокка"" 100% Ямайка Блю Маунтин (Jamaica Blue Mountain), средняя обжарка, 500 г.";409770887;R500JBMJM;https://www.ozon.ru/product/409770887;ROKKA;Продукты питания;Кофе в зернах;Нет;88 767 ₽;-12%;8;10 212 ₽;11 096 ₽;0 ₽;19 из 28;3 431 ₽;0;FBO,FBS;0 ч;4,4;33,0%;38,0%;5 797;571;0,06%;2,80%;9,1%;87,5%;2021-12-02
Кофе в зернах Вьетнамский Голубой океан (Me Trang, Ocean blue), 500 гр;358281978;02.424;https://www.ozon.ru/product/358281978;ME TRANG;Продукты питания;Кофе в зернах;Нет;88 748 ₽;+45%;69;1 ₽;1 286 ₽;0 ₽;21 из 28;3 170 ₽;2;FBO,FBS;42 ч;1,7;37,0%;46,0%;5 323;990;0,50%;9,69%;0,0%;98,5%;2021-10-21
Cafe Esmeralda Кофе растворимый Сублимированный 100г. 1шт.;150254444;571352;https://www.ozon.ru/product/150254444;Cafe Esmeralda;Продукты питания;Кофе растворимый;Нет;88 746 ₽;-42%;84;749 ₽;1 056 ₽;0 ₽;17 из 28;3 061 ₽;3;FBO,FBS;34 ч;0,9;37,0%;46,0%;6 558;1 725;0,56%;7,01%;0,0%;96,4%;2019-03-30
Кофе в зернах Blasercafe Ballerina 100% арабика, 1кг;281201490;BBL1;https://www.ozon.ru/product/281201490;Blasercafe;Продукты питания;Кофе в зернах;Нет;88 745 ₽;+222%;23;3 608 ₽;3 858 ₽;0 ₽;25 из 28;3 169 ₽;1;FBS;0 ч;4,2;35,0%;41,0%;993;290;0,70%;8,62%;0,0%;95,6%;2021-06-28
Подарочный набор кофе Rise зерновой, 3 банки, Бразилия, Эфиопия, Колумбия;1303880062;RISE-PRESENT;https://www.ozon.ru/product/1303880062;rise;Продукты питания;Кофе в зернах;Нет;88 716 ₽;+376%;44;1 674 ₽;2 016 ₽;14 786 ₽;24 из 28;3 697 ₽;2;FBO;61 ч;9,3;38,0%;45,0%;32 883;2 530;0,07%;5,05%;12,9%;86,3%;2023-11-22
Кофе Poetti Daily Mokka 1000г (зерно);1590020475;36938;https://www.ozon.ru/product/1590020475;Poetti;Продукты питания;Кофе в зернах;Нет;88 712 ₽;+642%;73;875 ₽;1 215 ₽;3 106 ₽;27 из 28;3 106 ₽;3;FBO,FBS;0 ч;7,0;40,0%;51,0%;12 276;1 322;0,66%;12,40%;0,0%;87,3%;2024-05-30
Кофе в зернах с корицей, Арабика/робуста 500 г, Вьетнам;2055590379;02.557;https://www.ozon.ru/product/2055590379;BAO;Продукты питания;Кофе в зернах;Нет;88 703 ₽;+203%;88;744 ₽;1 008 ₽;0 ₽;19 из 28;3 002 ₽;3;FBO,FBS;36 ч;1,7;39,0%;48,0%;30 095;2 401;0,14%;8,16%;13,7%;98,8%;2025-04-21
Кофе в зернах 1кг, арабика, Калипсо Сезонный Бленд, 1000 гр.;1696453876;SESONAL001;https://www.ozon.ru/product/1696453876;Калипсо Кофе;Продукты питания;Кофе в зернах;Нет;88 694 ₽;+50%;44;1 387 ₽;2 016 ₽;0 ₽;24 из 28;3 079 ₽;2;FBS;0 ч;3,7;36,0%;43,0%;1 190;1 320;0,75%;3,93%;0,0%;90,9%;2024-09-18
Кофе в капсулах набор NESPRESSO Ispirazione Genova Livanto 50 капсул;1025335544;1110;https://www.ozon.ru/product/1025335544;Nespresso;Продукты питания;Кофе в капсулах;Нет;88 628 ₽;+261%;22;3 643 ₽;4 029 ₽;0 ₽;19 из 28;3 035 ₽;1;FBO,FBS;43 ч;2,2;34,0%;40,0%;2 367;68;0,29%;10,29%;0,6%;90,0%;2023-06-09
Кофе в зернах Crema e Aroma, 1 кг Италия;3190975284;зер L Crema eAroma1;https://www.ozon.ru/product/3190975284;без бренда;Продукты питания;Кофе в зернах;Нет;88 583 ₽;0%;65;891 ₽;1 363 ₽;6 814 ₽;26 из 28;3 407 ₽;3;FBS;0 ч;0,9;37,0%;45,0%;8 242;443;0,32%;8,80%;0,6%;85,7%;2025-12-03
Кофе зерновой в подарочном бочонке 100% Ямайка Блю Маунтин (Jamaica Blue Mountain), средняя обжарка, 1 кг.;408447059;R1000JBMBARM;https://www.ozon.ru/product/408447059;ROKKA;Продукты питания;Кофе в зернах;Нет;88 530 ₽;0%;4;21 599 ₽;22 133 ₽;0 ₽;0 из 28;3 162 ₽;0;FBS;0 ч;7,7;33,0%;37,0%;1 482;135;0,06%;3,70%;0,0%;100,0%;2021-12-01
Кофе в зернах 10 кг оптом Бразилия Суль-де-Минас, обжарка под эспрессо;944334344;SP-BRSM-OPT10;https://www.ozon.ru/product/944334344;SPECIALTY.RU;Продукты питания;Кофе в зернах;Нет;88 510 ₽;-25%;5;16 767 ₽;17 702 ₽;0 ₽;28 из 28;2 505 ₽;0;FBO,FBS;0 ч;36,0;35,0%;41,0%;1 231;469;0,24%;3,41%;0,0%;100,0%;2023-04-19
Молотый кофе Шоколадный апельсин ENTE 200 г, 100% арабика;1829214988;Б1000015669;https://www.ozon.ru/product/1829214988;Ente;Продукты питания;Кофе молотый;Нет;88 508 ₽;+8%;206;1 ₽;430 ₽;0 ₽;8 из 28;3 147 ₽;7;FBO;30 ч;1,8;49,0%;67,0%;15 154;1 613;0,64%;18,72%;0,0%;97,5%;2025-01-13
Кофе в зернах Французская ваниль 1 кг Феличе;335097672;Кофе_ФрВаниль_1000;https://www.ozon.ru/product/335097672;Feliche life;Продукты питания;Кофе в зернах;Нет;88 425 ₽;+2%;39;174 ₽;2 267 ₽;0 ₽;14 из 28;2 828 ₽;1;FBO;30 ч;3,0;35,0%;42,0%;3 794;952;0,36%;5,88%;0,2%;100,0%;2021-09-29
Кофе в зернах Carraro Don Carlos, арабика, робуста, 1 кг. Италия;1524256725;1149;https://www.ozon.ru/product/1524256725;Carraro;Продукты питания;Кофе в зернах;Нет;88 401 ₽;0%;50;1 621 ₽;1 768 ₽;0 ₽;26 из 28;2 904 ₽;2;FBO;61 ч;5,4;39,0%;48,0%;2 434;476;0,94%;13,02%;0,0%;94,0%;2024-04-03
Кофе в зернах 1 кг арабика Qualita Mountain Grown;3098956820;оро черный 11;https://www.ozon.ru/product/3098956820;без бренда;Продукты питания;Кофе в зернах;Нет;88 298 ₽;+136%;61;1 313 ₽;1 448 ₽;0 ₽;27 из 28;2 952 ₽;2;FBO,FBS;0 ч;1,0;36,0%;44,0%;8 335;1 315;0,23%;13,00%;2,5%;95,0%;2025-11-12
Капсулы Lavazza ALU Crema e Gusto Dolce, 10 шт;1636707733;7027;https://www.ozon.ru/product/1636707733;Lavazza;Продукты питания;Кофе в капсулах;Нет;88 297 ₽;+57%;167;359 ₽;529 ₽;0 ₽;18 из 28;3 186 ₽;6;FBO,FBS;59 ч;0,4;43,0%;57,0%;6 200;1 273;0,83%;8,79%;0,0%;90,4%;2024-07-24
Кофе в капсулах Starbucks Nespresso Capsules House Blend, Старбакс в капсулах для кофемашины Неспрессо, эспрессо, 4 упаковки по 10 штук;1464719038;12422140_4;https://www.ozon.ru/product/1464719038;Starbucks;Продукты питания;Кофе в капсулах;Нет;88 189 ₽;+8%;44;1 451 ₽;2 004 ₽;0 ₽;24 из 28;3 149 ₽;2;FBO;59 ч;1,6;35,0%;41,0%;1 110;463;1,08%;9,50%;0,0%;100,0%;2024-03-11
Набор кофе Nespresso ISPIRAZIONE ITALIANA MIX в капсулах, 100 шт. (10 упаковок - Kazaar, livanto, Ristretto, Roma, Arpeggio);1576595566;ISP-IT-10-№3;https://www.ozon.ru/product/1576595566;Nespresso;Продукты питания;Кофе в капсулах;Нет;88 170 ₽;+146%;10;8 069 ₽;8 817 ₽;0 ₽;21 из 28;3 149 ₽;0;FBS;0 ч;4,3;33,0%;38,0%;8 482;262;0,04%;8,39%;4,0%;100,0%;2024-05-16
Кофе в зернах Арабика 100% (1000 г);3020755011;'Квалита Оро Lavazza, 1 кг_959;https://www.ozon.ru/product/3020755011;без бренда;Продукты питания;Кофе в зернах;Нет;88 074 ₽;+28%;63;129 ₽;1 398 ₽;0 ₽;27 из 28;3 089 ₽;2;FBS;0 ч;5,3;40,0%;50,0%;7 291;670;0,28%;21,04%;0,0%;93,6%;2025-10-25
Кофе молотый Lavazza Decaffeinato, 250 г;1670755612;1000;https://www.ozon.ru/product/1670755612;Lavazza;Продукты питания;Кофе молотый;Нет;88 044 ₽;-64%;124;531 ₽;710 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,5;34,0%;39,0%;3 754;557;2,47%;20,10%;0,0%;0,0%;0001-01-01
