Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Monarch Кофе растворимый 500г. 1шт.;2153776754;п6;https://www.ozon.ru/product/2153776754;Monarch;Продукты питания;Кофе растворимый;Нет;2 059 710 ₽;+68%;2 193;388 ₽;939 ₽;73 646 ₽;26 из 28;73 646 ₽;79;FBO;60 ч;4,8;44,0%;57,0%;94 870;19 638;1,10%;20,66%;0,0%;89,4%;2025-05-19
Кофейный напиток Monarch Classic, 3 в 1, растворимый, в стиках, 50 шт. x 13,5 г;258846397;8051078;https://www.ozon.ru/product/258846397;Monarch;Продукты питания;Кофейный напиток;Нет;2 056 202 ₽;+22%;4 013;1 ₽;512 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;9,9;68,0%;97,0%;85 316;41 514;2,76%;10,90%;4,0%;0,0%;0001-01-01
Кофе в зернах illy Classico, банка 250 г (арабика 100%, Италия);2035516470;5000004958;https://www.ozon.ru/product/2035516470;illy;Продукты питания;Кофе в зернах;Нет;2 032 969 ₽;+11%;2 137;80 ₽;951 ₽;0 ₽;17 из 28;71 883 ₽;76;FBO;30 ч;2,0;40,0%;51,0%;11 234;8 723;5,35%;13,66%;0,0%;96,8%;2025-04-15
Кофе в зернах Tasty Coffee Брауни, 1 кг;1085845200;MILKBrownie;https://www.ozon.ru/product/1085845200;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;2 031 566 ₽;-2%;806;218 ₽;2 521 ₽;72 487 ₽;26 из 28;72 487 ₽;29;FBO;63 ч;4,6;36,0%;44,0%;50 835;25 030;0,62%;4,54%;2,9%;93,7%;2023-07-18
Кофе в зёрнах Lavazza Qualita Oro, 250 г;32933704;00-00000424;https://www.ozon.ru/product/32933704;Lavazza;Продукты питания;Кофе в зернах;Нет;2 031 051 ₽;-5%;2 803;1 ₽;725 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,9;41,0%;53,0%;80 038;13 987;2,17%;11,89%;0,0%;0,0%;0001-01-01
Кофе молотый Жокей Баварский шоколад, 150 г;33069381;0511-20-1, 0511-20-0, 0511-10, 0511-20-0;https://www.ozon.ru/product/33069381;Жокей;Продукты питания;Кофе молотый;Нет;2 017 903 ₽;+32%;7 766;1 ₽;260 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,9;40,0%;52,0%;302 451;77 722;3,04%;14,69%;0,3%;0,0%;0001-01-01
Кофе растворимый Нескафе Голд Бариста, с молотым, 170 г;947881086;12558833;https://www.ozon.ru/product/947881086;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;2 015 904 ₽;+16%;3 579;1 ₽;563 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,1;47,0%;64,0%;272 184;65 950;0,41%;6,33%;5,3%;0,0%;0001-01-01
Кофе в зернах Lavazza Qualita Oro 1 кг;1839265666;FMN Oro 1 кг;https://www.ozon.ru/product/1839265666;Lavazza;Продукты питания;Кофе в зернах;Нет;2 008 865 ₽;-42%;1 233;1 ₽;1 629 ₽;0 ₽;18 из 28;71 092 ₽;44;FBO,FBS;35 ч;4,7;39,0%;48,0%;82 826;12 820;0,41%;12,12%;3,0%;92,2%;2025-01-19
Кофе в зернах 1 кг 100% Арабика, Итальянская обжарка, BELLO COFFEE ITALY ESPRESSO CREMA, зерновой свежеобжаренный кофе;436385365;BC-CREMA-1000;https://www.ozon.ru/product/436385365;BELLO COFFEE;Продукты питания;Кофе в зернах;Нет;2 001 427 ₽;+11%;1 159;797 ₽;1 727 ₽;0 ₽;7 из 28;70 762 ₽;41;FBO;28 ч;2,9;37,0%;44,0%;107 421;13 091;0,21%;12,00%;3,1%;97,0%;2021-12-20
Кофе в зернах 1 кг арабика 100%, Coffesso Massimo, 1 кг;1273372973;102488;https://www.ozon.ru/product/1273372973;Coffesso;Продукты питания;Кофе в зернах;Нет;2 000 325 ₽;+187%;1 467;1 ₽;1 364 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,4;39,0%;49,0%;232 248;22 493;0,44%;8,50%;16,9%;0,0%;0001-01-01
Кофе растворимый FRESCO Arabica Blend, 190 г;151813554;4630007985428;https://www.ozon.ru/product/151813554;Fresco;Продукты питания;Кофе растворимый;Нет;1 998 446 ₽;+65%;4 686;1 ₽;426 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,0;51,0%;72,0%;406 557;69 901;0,42%;11,37%;7,3%;0,0%;0001-01-01
